anio;RENIPRESS;EESS;Ubigeo_Declarado_Paciente;Distrito_RH_Paciente;Codigo_Item;Codigo_Item_F;Descripcion_Item;id_genero;grupo_edad;cie;desc_grupo;TOTAL
2025;000002885;CIUDAD NUEVA;220101;TACNA;E65X;E65;ADIPOSIDAD LOCALIZADA;F;12-17a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002885;CIUDAD NUEVA;220101;TACNA;E65X;E65;ADIPOSIDAD LOCALIZADA;F;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;5
2025;000002885;CIUDAD NUEVA;220101;TACNA;E65X;E65;ADIPOSIDAD LOCALIZADA;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;28
2025;000002885;CIUDAD NUEVA;220101;TACNA;E65X;E65;ADIPOSIDAD LOCALIZADA;F;60a+;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;15
2025;000002885;CIUDAD NUEVA;220101;TACNA;E65X;E65;ADIPOSIDAD LOCALIZADA;M;12-17a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002885;CIUDAD NUEVA;220101;TACNA;E65X;E65;ADIPOSIDAD LOCALIZADA;M;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;5
2025;000002885;CIUDAD NUEVA;220101;TACNA;E65X;E65;ADIPOSIDAD LOCALIZADA;M;60a+;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;5
2025;000034527;CENTRO DE SALUD METROPOLITANO;220101;TACNA;E65X;E65;ADIPOSIDAD LOCALIZADA;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002924;RAMON COPAJA;220101;TACNA;E65X;E65;ADIPOSIDAD LOCALIZADA;M;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002899;POCOLLAY;220101;TACNA;E65X;E65;ADIPOSIDAD LOCALIZADA;F;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002885;CIUDAD NUEVA;220102;CALANA;E65X;E65;ADIPOSIDAD LOCALIZADA;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002895;TOQUELA;220107;PACHIA;E65X;E65;ADIPOSIDAD LOCALIZADA;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002885;CIUDAD NUEVA;220104;INCLAN;E65X;E65;ADIPOSIDAD LOCALIZADA;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002864;HOSPITAL HIPOLITO UNANUE DE TACNA;220104;INCLAN;E65X;E65;ADIPOSIDAD LOCALIZADA;F;5-11a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002899;POCOLLAY;220109;POCOLLAY;E65X;E65;ADIPOSIDAD LOCALIZADA;F;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
